state.fips,state.abbr,pre.spike.total.on.unemployment,pre.spike.pct.unemployed,new.claims.since.spike,latest.total.on.unemployment,latest.pct.unemployed,labor.force,change.pct.unemployment,change.total.on.unemployment
02,AK,8512,4.8,223234,19083,7.1,333004,2.3,10571
01,AL,12487,1.1,824599,28422,1.6,2255268,0.5,15935
05,AR,10988,1.5,404804,23941,2.1,1335469,0.6000000000000001,12953
04,AZ,18096,1.3,938218,102899,3.1,3566291,1.8,84803
06,CA,421018,3.2,9665585,1438775,8.5,18676946,5.3,1017757
08,CO,21294,1.3,582219,91444,3.1,3147378,1.8,70150
09,CT,44015,3.6,537345,88842,5,1894773,1.4,44827
11,DC,7378,5.2,135693,34991,9.2,396750,3.999999999999999,27613
10,DE,5297,3.4,141902,14391,3.2,495306,-0.19999999999999973,9094
12,FL,33711,1,3989690,205209,2.3,10143475,1.2999999999999998,171498
13,GA,27507,0.8,4018463,285798,6.3,4945161,5.5,258291
15,HI,6477,2.3,384024,51302,9.1,612768,6.8,44825
19,IA,26489,3.9,435164,35030,2.5,1612751,-1.4,8541
16,ID,7869,2.4,224215,7960,1.4,918644,-1,91
17,IL,125422,4,1957533,337143,6.3,6392549,2.3,211721
18,IN,20778,2.5,1054783,87474,3,3336535,0.5,66696
20,KS,9927,2.2,545108,48429,4.3,1475696,2.0999999999999996,38502
21,KY,22328,3.5,1212484,50778,2.9,1925252,-0.6000000000000001,28450
22,LA,14143,4.1,1001491,98935,5.2,2095056,1.1000000000000005,84792
25,MA,83088,6.1,1419219,222419,7,3789576,0.9000000000000004,139331
24,MD,26449,2.1,898459,79960,3,3067839,0.8999999999999999,53511
23,ME,8695,4.3,177304,12487,2.2,681209,-2.0999999999999996,3792
26,MI,74987,4.1,1861951,184689,4.1,4890716,0,109702
27,MN,66615,5.9,917454,104836,3.8,3055452,-2.1000000000000005,38221
29,MO,21192,2,841764,49387,1.9,3011046,-0.10000000000000009,28195
28,MS,6667,1,493509,38767,3.3,1296003,2.3,32100
30,MT,9818,4.7,156435,14930,3.3,534614,-1.4000000000000004,5112
37,NC,20652,2.3,1359647,88288,2,4914985,-0.2999999999999998,67636
38,ND,6169,2.9,93623,6732,2,396309,-0.8999999999999999,563
31,NE,4856,1.9,197717,12270,1.4,1033570,-0.5,7414
33,NH,4020,4.4,248260,23261,3.4,741739,-1.0000000000000004,19241
34,NJ,105840,4.8,1630554,168557,4.4,4349416,-0.39999999999999947,62717
35,NM,9288,2.8,252260,64882,7.2,952327,4.4,55594
32,NV,19822,7.2,632489,105951,7.5,1520357,0.2999999999999998,86129
36,NY,166857,2.6,4038335,479971,5.7,9134041,3.1,313114
39,OH,68271,4.6,1654102,152628,3.1,5643105,-1.4999999999999996,84357
40,OK,16854,2.1,894536,59257,3.4,1880260,1.2999999999999998,42403
41,OR,30413,2.9,593859,77523,4,2058880,1.1,47110
42,PA,128017,7.5,1930169,368376,6.1,6365388,-1.4000000000000004,240359
72,PR,15239,3.4,362553,48361,4.7,1041397,1.3000000000000003,33122
44,RI,10782,8.3,205582,14998,3.1,561004,-5.200000000000001,4216
45,SC,15111,2,753693,52316,2.3,2390306,0.2999999999999998,37205
46,SD,2674,0.9,66337,3856,1,463131,0.09999999999999998,1182
47,TN,18350,1.7,864224,65232,2.2,3322510,0.5000000000000002,46882
48,TX,125698,2,3600046,517742,3.9,14214922,1.9,392044
49,UT,10826,1.9,227506,15242,1.1,1663385,-0.7999999999999998,4416
51,VA,21628,1.5,1184684,91960,2.4,4279495,0.8999999999999999,70332
78,VI,584,,4038,1698,,,,1114
50,VT,4810,2.5,89332,11209,3.7,321693,1.2000000000000002,6399
53,WA,62149,4.9,1681353,144967,4.4,3901444,-0.5,82818
55,WI,43598,3.1,958014,93489,3.4,3137058,0.2999999999999998,49891
54,WV,14154,2.1,215814,21388,3,773715,0.8999999999999999,7234
56,WY,3197,2.3,68178,5633,2.3,294960,0,2436
